FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,FLAECHE,OEFF_ZEITEN,SPIELEN_IM_PARK,WASSER_IM_PARK,HUNDE_IM_PARK,TELEFON,WEBLINK1,SE_ANNO_CAD_DATA
PARKINFOOGD.1906430,1906430,POINT (16.370127860188227 48.219535776496556),Ruth-Maier-Park,2,2.488 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906431,1906431,POINT (16.3743699882021 48.21574527089964),Vilma-Steindling-Promenade,2,4.346 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906432,1906432,POINT (16.50906891362805 48.228142427790985),GA Am-Ostrom-Park,22,725 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906433,1906433,POINT (16.35258444231889 48.24330151879105),PA Max-Patat-Weg,19,2.416 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906434,1906434,POINT (16.416004298006538 48.16740685847855),Luise-Montag-Park,11,13.660 m²,0:00-24:00,Ja,Ja,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906435,1906435,POINT (16.423893928033817 48.158048007611896),PA Am Kanal,11,7.134 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906436,1906436,POINT (16.368562609845647 48.171377079078205),PA Van-der-Nüll-Gasse,10,391 m²,0:00-24:00,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906437,1906437,POINT (16.417554616763653 48.23111437074712),PA Weissauweg,22,8.279 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906438,1906438,POINT (16.450039127166697 48.25086102021129),Ernst-Paul-Zimper-Park,22,8.492 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906439,1906439,POINT (16.434113812564558 48.168367080403684),Seeschlachtpark,11,3.891 m²,0:00-24:00,Ja,Ja,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906440,1906440,POINT (16.387949948567517 48.213683962781786),Henriette-Fahrbach-Promenade,2,7.307 m²,Ballspielplatz: 6:30-20:30,Ja,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906441,1906441,POINT (16.415986842230158 48.16505761593667),PA Hasenleitengasse,11,10.010 m²,0:00-24:00,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906442,1906442,POINT (16.33038131235356 48.196237787092464),GA Felberstraße,15,146 m²,,Nein,Nein,Nein,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
PARKINFOOGD.1906443,1906443,POINT (16.289838011882164 48.172739497015655),Hundezone Himmelbaurgasse,13,546 m²,0:00-24:00,Nein,Nein,Ja,01 4000 8042,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
