district_code,area,pop_value,pop_density
90000,414870000,1982097,4777.62
90100,2870000,16620,5793.42
90200,19240000,108269,5626.7
90300,7400000,96756,13079.13
90400,1780000,33633,18945.95
90500,2009999,55018,27349.84
90600,1460000,31423,21595.92
90700,1610000,31581,19636.9
90800,1090000,24674,22637.83
90900,2970000,42206,14223.3
91000,31830000,218415,6862.23
91100,23260000,109038,4688.53
91200,8100000,100281,12375.4
91300,37710000,55568,1473.38
91400,33760000,96828,2867.85
91500,3920000,76109,19423.18
91600,8670000,102444,11811.76
91700,11390000,56033,4918.97
91800,6350000,51559,8123.11
91900,24940000,75517,3027.48
92000,5710000,85690,15005.76
92100,44440000,183895,4137.75
92200,102300000,212658,2078.78
92300,32060000,117882,3676.72
