Anzahl der Familien nach Familientyp seit 2012 - Bezirke Wien | Number of families by family type since 2012 - districts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;EHE;EHE_K;LGEM;LGEM_K;V_K;M_K
AT13;90100;90100;2012;20121031;1146;1103;350;197;221;854
AT13;90200;90200;2012;20121031;6638;7505;2873;1443;851;4266
AT13;90300;90300;2012;20121031;6125;6336;2518;1171;772;3976
AT13;90400;90400;2012;20121031;2032;2186;1043;434;296;1449
AT13;90500;90500;2012;20121031;3497;3747;1872;673;447;2223
AT13;90600;90600;2012;20121031;1903;1877;1173;442;259;1274
AT13;90700;90700;2012;20121031;1866;1852;1310;477;261;1283
AT13;90800;90800;2012;20121031;1474;1452;908;305;216;993
AT13;90900;90900;2012;20121031;2469;2493;1530;552;355;1689
AT13;91000;91000;2012;20121031;14935;16492;3696;2034;1406;7923
AT13;91100;91100;2012;20121031;7534;8632;2145;1285;638;4215
AT13;91200;91200;2012;20121031;6543;7551;2209;1081;718;3915
AT13;91300;91300;2012;20121031;4435;4187;1070;617;409;2332
AT13;91400;91400;2012;20121031;7508;6926;2124;1199;714;3810
AT13;91500;91500;2012;20121031;4909;5738;2215;890;691;2974
AT13;91600;91600;2012;20121031;7450;7860;2640;1227;811;4099
AT13;91700;91700;2012;20121031;4011;4264;1477;702;493;2317
AT13;91800;91800;2012;20121031;3346;3673;1387;684;435;2276
AT13;91900;91900;2012;20121031;5580;5248;1502;813;653;3400
AT13;92000;92000;2012;20121031;6282;7096;2171;1025;655;3384
AT13;92100;92100;2012;20121031;12875;12905;3241;2155;1163;7060
AT13;92200;92200;2012;20121031;14013;16854;3844;2706;1170;7781
AT13;92300;92300;2012;20121031;9091;8750;2066;1358;634;4370
AT13;90100;90100;2013;20131031;1131;1099;385;185;229;865
AT13;90200;90200;2013;20131031;6713;7665;3121;1520;838;4297
AT13;90300;90300;2013;20131031;6078;6365;2732;1208;746;3989
AT13;90400;90400;2013;20131031;2048;2182;1080;449;287;1446
AT13;90500;90500;2013;20131031;3500;3793;1997;717;473;2140
AT13;90600;90600;2013;20131031;1933;1856;1306;434;259;1283
AT13;90700;90700;2013;20131031;1846;1867;1389;489;280;1252
AT13;90800;90800;2013;20131031;1485;1446;937;329;225;979
AT13;90900;90900;2013;20131031;2460;2491;1628;571;373;1702
AT13;91000;91000;2013;20131031;15040;16735;3961;2102;1457;7916
AT13;91100;91100;2013;20131031;7517;8693;2153;1318;646;4177
